,brand_name,kind,pingfen,xingjiabi,xingneng,xuhang,waiguan,paizhao
0,360,3,7.4,7.9,3.5,6.6,8,7.6
1,360,3,7.4,7.9,3.5,6.6,8,7.6
2,360,3,7.4,7.9,3.5,6.6,8,7.6
3,360,3,7.8,8.1,7.5,9.0,7.9,7.2
4,360,3,7.8,8.1,7.5,9.0,7.9,7.2
5,360,3,8.4,8.1,9.0,8.0,8.8,8.7
6,360,3,8.4,8.1,9.0,8.0,8.8,8.7
7,360,3,8.0,8.2,7.8,7.7,8.8,7.4
8,360,3,8.1,8.5,8.5,7.4,7.6,8.3
9,360,3,8.1,8.5,8.5,7.4,7.6,8.3
10,360,3,7.4,9.1,6.0,8.5,7,6.8
11,360,3,8.2,9.2,7.5,8.2,7.4,7.8
12,360,3,8.2,9.2,7.5,8.2,7.4,7.8
14,8848,0,4.1,2.7,3.7,6.0,2.7,5.4
15,8848,0,5.5,5.4,5.4,6.1,6.1,4.7
16,8848,0,6.8,5.8,2.0,6.6,7.9,7.7
17,8848,0,8.2,6.6,8.3,8.6,8.5,9.1
18,8848,0,8.2,6.6,8.3,8.6,8.5,9.1
19,8848,0,8.2,6.6,8.3,8.6,8.5,9.1
20,8848,0,8.2,6.6,8.3,8.6,8.5,9.1
22,22克,1,9.0,9.9,8.7,9.1,9.5,7.9
29,Acer,1,6.8,9.0,7.0,7.0,6,5
40,AGM,0,7.8,7.5,6.7,8.2,9.1,7.5
41,AGM,0,8.4,8.1,7.8,9.8,8.7,7.8
42,AGM,0,8.7,8.9,8.1,8.7,10,7.9
43,AGM,0,8.4,9.1,3.0,10.0,9.1,9
44,AGM,0,8.4,9.1,3.0,10.0,9.1,9
45,Ant,1,3.6,0.8,4.8,2.8,4.8,4.8
47,COMIO,1,9.8,10.0,10.0,10.0,10,8.2
48,Google,0,5.6,2.0,6.0,6.0,6,8
49,Google,0,6.9,4.3,8.0,7.4,4.9,7
50,Google,0,8.5,8.3,8.3,8.7,8.7,8.7
60,HP,2,8.7,7.9,8.6,8.8,9.2,8.8
61,HP,2,8.9,9.7,7.7,7.7,10,7.7
62,HP,2,8.9,9.7,7.7,7.7,10,7.7
69,HTC,3,5.1,4.2,5.8,3.4,6.5,5.7
70,HTC,3,5.1,4.2,5.8,3.4,6.5,5.7
71,HTC,3,5.1,4.2,5.8,3.4,6.5,5.7
72,HTC,3,5.1,4.2,5.8,3.4,6.5,5.7
73,HTC,3,5.9,4.9,6.9,4.9,6.4,6.4
74,HTC,3,7.2,5.5,8.2,5.9,8,8.2
75,HTC,3,7.2,5.5,8.2,5.9,8,8.2
76,HTC,3,7.2,5.5,8.2,5.9,8,8.2
77,HTC,3,7.7,5.9,6.0,6.8,7.8,8.4
78,HTC,3,7.7,5.9,6.0,6.8,7.8,8.4
79,HTC,3,7.7,5.9,6.0,6.8,7.8,8.4
80,HTC,3,7.1,6.2,7.4,5.8,8.9,7.3
81,HTC,3,6.7,6.2,6.6,6.6,8.2,5.7
82,HTC,3,5.7,6.3,6.5,3.5,6.9,5.5
83,HTC,3,5.7,6.3,6.5,3.5,6.9,5.5
84,HTC,3,7.5,6.3,9.0,6.1,8,8.1
85,HTC,3,7.5,6.3,9.0,6.1,8,8.1
86,HTC,3,5.7,6.3,6.5,3.5,6.9,5.5
